,Unnamed: 0,comics,id,name
372,72,22,1011373,Sons of the Tiger
373,73,0,1009607,Spacker Dave
374,74,27,1010705,Spectrum
375,75,12,1010833,Speed
376,76,7,1011032,Speed Demon
377,77,35,1010694,Speedball (Robert Baldwin)
378,78,7,1009605,Spencer Smythe
379,79,0,1011366,Sphinx (Anath-Na Mut)
380,80,0,1010727,Spider-dok
381,81,57,1009157,Spider-Girl (Anya Corazon)
382,82,188,1009609,Spider-Girl (May Parker)
383,83,103,1017603,Spider-Gwen (Spider-Gwen)
384,84,45,1011347,Spider-Ham (Larval Earth)
385,85,3919,1009610,Spider-Man
386,86,44,1011054,Spider-Man (1602)
387,87,58,1014873,Spider-Man (2099)
388,88,15,1016452,Spider-Man (Ai Apaec)
389,89,34,1014858,Spider-Man (Ben Reilly)
390,90,0,1012200,Spider-Man (House of M)
391,91,0,1017332,Spider-Man (LEGO Marvel Super Heroes)
392,92,8,1011114,Spider-Man (Marvel Zombies)
393,93,0,1017305,Spider-Man (Marvel: Avengers Alliance)
394,94,260,1016181,Spider-Man (Miles Morales)
395,95,11,1012295,Spider-Man (Noir)
396,96,0,1011377,Spider-Man (Takuya Yamashiro)
397,97,272,1011010,Spider-Man (Ultimate)
398,98,11,1010795,Spider-Woman (Charlotte Witter)
399,99,252,1009608,Spider-Woman (Jessica Drew)
400,0,16,1010794,Spider-Woman (Mattie Franklin)
401,1,50,1009614,Spiral (Rita Wayword)
402,2,0,1011158,Spirit
403,3,30,1010899,Spitfire
404,4,16,1009616,Spot
405,5,0,1011180,Sprite
406,6,0,1009617,Spyke
407,7,9,1014905,Squadron Sinister
408,8,52,1010814,Squadron Supreme (Earth-712)
409,9,113,1010860,Squirrel Girl
410,10,37,1009618,Stacy X
411,11,2,1015003,Stacy X (Ultimate)
412,12,31,1011307,Star Brand
413,13,93,1010733,Star-Lord (Peter Quill)
414,14,9,1009621,Starbolt
415,15,2,1010764,Stardust
416,16,38,1011084,Starfox
417,17,29,1011341,Starhawk (Stakar Ogord)
418,18,25,1011078,Starjammers
419,19,0,1009622,Stark Industries
420,20,32,1010828,Stature
421,21,16,1010889,Steel Serpent (Davos)
422,22,2,1011159,Stellaris
423,23,39,1009625,Stepford Cuckoos
424,24,0,1009615,Stephanie de la Spiroza
425,25,10,1010901,Stephen Strange
426,26,42,1010326,Steve Rogers
427,27,17,1009626,Stick
428,28,10,1009627,Stilt-Man (Wibur Day)
429,29,31,1009628,Stingray (Walter Newell)
430,30,0,1010327,Stone Men
431,31,829,1009629,Storm
432,32,12,1010979,Storm (Age of Apocalypse)
433,33,0,1017309,Storm (Marvel Heroes)
434,34,65,1010978,Storm (Ultimate)
435,35,7,1011062,Stranger
436,36,58,1011051,Strong Guy
437,37,49,1009632,Stryfe
438,38,0,1011225,Stryfe (Ultimate)
439,39,574,1010791,Sub-Mariner
440,40,40,1009631,Sue Storm
441,41,4,1011212,Sugar Man
442,42,4,1009635,Sumo
443,43,84,1009636,Sunfire
444,44,7,1010981,Sunfire (Age of Apocalypse)
445,45,9,1009637,Sunset Bain
446,46,195,1009638,Sunspot
447,47,16,1015280,Super Hero Squad
448,48,12,1011022,Super-Adaptoid
449,49,31,1009639,Super-Skrull
450,50,11,1011232,Supernaut
451,51,15,1011160,Supreme Intelligence
452,52,22,1010695,Surge
453,53,0,1011172,Susan Delgado
454,54,2,1011075,Swarm
455,55,0,1011017,Sway
456,56,4,1009640,Switch
457,57,60,1009641,Swordsman
458,58,4,1010982,Swordsman (Jaques Duquesne)
459,59,2,1009642,Sym
460,60,15,1009643,Synch
461,61,8,1009644,T'Challa
462,62,10,1011042,Tag
463,63,10,1009646,Talisman (Elizabeth Twoyoungmen)
464,64,6,1010753,Talkback (Chase Stein)
465,65,1,1011395,Talon (Fraternity of Raptors)
466,66,1,1011161,Talos
467,67,6,1011149,Tana Nile
468,68,6,1010713,Tarantula (Luis Alvarez)
469,69,5,1009647,Tarot
470,70,93,1009648,Taskmaster
471,71,0,1011115,Tattoo
472,72,0,1011000,Ted Forrester
473,73,23,1009650,Tempest
474,74,2,1011162,Tenebrous
475,75,27,1009651,Terrax
476,76,11,1011034,Terror
477,77,3,1010819,Texas Twister
478,78,12,1011003,Thaddeus Ross
479,79,268,1009652,Thanos
